Метрика,Значение,Интерпретация
Общее количество наблюдений,244,Размер выборки
Средняя сумма счета,$19.79,Средний чек
Средние чаевые,$3.00,Средняя сумма чаевых
Средний процент чаевых,16.08%,Средняя щедрость клиентов
Корреляция Спирмена (счёт-чаевые),0.6790,Сила монотонной зависимости
p-value корреляции,2.50e-34,Статистическая значимость зависимости
Различия по размеру компании (p-value),0.000000,Наличие различий между группами
"Различия по полу (чаевые, p-value)",0.3834,Наличие различий между полами
"Различия по полу (процент, p-value)",0.1352,Наличие различий в процентах
Различия по дням недели (p-value),0.606904,Наличие различий между днями
